id	일시	자치구	승차총승객수	하차총승객수
138	20200106	마포구	329090.0	337886.0
139	20200106	서대문구	37932.0	36922.0
140	20200106	서초구	186994.0	186884.0
141	20200106	성동구	169312.0	171886.0
142	20200106	성북구	124623.0	118080.0
143	20200106	송파구	250624.0	249498.0
144	20200106	양천구	85912.0	87252.0
145	20200106	영등포구	322838.0	327359.0
146	20200106	용산구	111413.0	113729.0
147	20200106	은평구	186184.0	180044.0
148	20200106	종로구	287358.0	288857.0
149	20200106	중구	353933.0	359068.0
150	20200106	중랑구	82747.0	81105.0
151	20200107	강남구	683121.0	709648.0
152	20200107	강동구	170263.0	166818.0
153	20200107	강북구	86213.0	83940.0
154	20200107	강서구	262163.0	254100.0
155	20200107	관악구	130065.0	126165.0
156	20200107	광진구	146338.0	145486.0
157	20200107	구로구	228783.0	228214.0
158	20200107	금천구	102363.0	105949.0
159	20200107	노원구	210908.0	207582.0
160	20200107	도봉구	68297.0	67744.0
161	20200107	동대문구	105512.0	103669.0
162	20200107	동작구	231761.0	229528.0
163	20200107	마포구	321756.0	329901.0
164	20200107	서대문구	36968.0	36015.0
165	20200107	서초구	183007.0	184614.0
166	20200107	성동구	167732.0	169974.0
167	20200107	성북구	121468.0	115577.0
168	20200107	송파구	247360.0	244865.0
169	20200107	양천구	84797.0	86078.0
170	20200107	영등포구	318822.0	323051.0
171	20200107	용산구	109372.0	111425.0
172	20200107	은평구	180714.0	175054.0
173	20200107	종로구	281609.0	280912.0
174	20200107	중구	349649.0	352426.0
175	20200107	중랑구	80944.0	79622.0
176	20200108	강남구	695819.0	726059.0
177	20200108	강동구	177075.0	172844.0
178	20200108	강북구	90976.0	88213.0
179	20200108	강서구	274872.0	265699.0
180	20200108	관악구	135270.0	130019.0
181	20200108	광진구	154253.0	152747.0
182	20200108	구로구	237983.0	236738.0
183	20200108	금천구	104037.0	107663.0
184	20200108	노원구	221141.0	217155.0
185	20200108	도봉구	73364.0	72405.0
186	20200108	동대문구	115639.0	113478.0
187	20200108	동작구	242525.0	239688.0
188	20200108	마포구	338326.0	348181.0
189	20200108	서대문구	39266.0	37929.0
190	20200108	서초구	188352.0	190211.0
191	20200108	성동구	175049.0	177181.0
192	20200108	성북구	126142.0	118447.0
193	20200108	송파구	261149.0	258757.0
194	20200108	양천구	88271.0	88810.0
195	20200108	영등포구	329362.0	335187.0
196	20200108	용산구	116857.0	118408.0
